Feature Combination,Number of Features,n_estimators,R2 Validation,MSE Validation,MAE Validation,Validation R2 CI Lower,Validation R2 CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R2,Train MSE,Train MAE,Train R2 CI Lower,Train R2 CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",6,600,0.2826590498222573,506.8801482214847,17.13457971093113,0.1477876729754997,0.41753042666901496,408.9453171972035,604.8149792457659,15.51123702792612,18.75792239393614,0.3415209636665873,482.6738683354396,16.932503082798938,0.2867628220128333,0.3962791053203413,441.5733868816235,523.7743497892557,15.995288680296461,17.869717485301415
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",6,700,0.2804196100076598,508.68152811815634,17.160857101002968,0.14827861323704342,0.4125606067782762,412.46065087308557,604.9024053632271,15.563910864028543,18.757803337977393,0.34166459316749453,482.5684920659768,16.908452758724103,0.287370966436786,0.39595821989820307,441.79191016050027,523.3450739714533,15.987217323478994,17.82968819396921
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",6,800,0.28208260144061265,507.43634165185694,17.087666108074696,0.14763117843255152,0.41653402444867377,409.83586180658057,605.0368214971334,15.457145108218544,18.71818710793085,0.3425924146605109,481.9145527629188,16.8984056560087,0.28849967442963803,0.39668515489138373,441.0942401054562,522.7348654203814,15.965048860096093,17.831762451921303
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",6,900,0.2820078109695147,507.42770190901064,17.09123250919385,0.14731817909126654,0.4166974428477629,409.80354733734106,605.0518564806803,15.45675124747836,18.72571377090934,0.34260848034282165,481.89521935700867,16.899778495699643,0.28855645391839935,0.39666050676724396,441.1415984210033,522.648840293014,15.965445570322432,17.834111421076855
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",6,1000,0.2820162548032563,507.4012240525952,17.085447200744927,0.14709267592086583,0.4169398336856468,409.61918917554476,605.1832589296456,15.43858848362134,18.732305917868512,0.34240138192393366,482.0419687091159,16.900739546136286,0.28847186960441473,0.3963308942434526,441.40541595897923,522.6785214592526,15.964160477805168,17.837318614467407
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,1,0.20620395699433622,561.6600955073492,17.611462748165575,0.008483755544093252,0.4039241584445792,419.5638979631733,703.7562930515251,16.139974359573397,19.082951136757753,0.34010646165059455,483.89956982061994,17.10075002392918,0.2681427072454081,0.412070216055781,429.45359975149574,538.3455398897441,15.862688794300553,18.338811253557807
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,10,0.18432034210373818,579.6768921605101,17.2747050504659,0.020040694731800285,0.34859998947567605,449.7687739987333,709.5850103222868,15.974174140865745,18.575235960066056,0.41429709595885306,429.5436495304043,15.939992611932135,0.36710422648267416,0.46148996543503196,393.0316974364064,466.05560162440224,15.221032611095954,16.658952612768317
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,50,0.18580714166952086,579.6817471286022,17.087938872815702,-0.012457981878752383,0.38407226521779414,423.2014688221907,736.1620254350137,15.385714008618882,18.790163737012524,0.4169757734942919,427.42702863207194,15.711422405514224,0.36182206691668484,0.4721294800718989,386.07522526471803,468.77883199942585,14.81638313633382,16.60646167469463
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,100,0.17527632056019224,584.7746425982214,17.011322381755882,-0.031561714311032246,0.3821143554314167,431.1577796486849,738.3915055477578,15.438635291566282,18.584009471945482,0.4217949145884522,423.8704209810915,15.657043658938969,0.36807456003123906,0.47551526914566533,383.74963038313376,463.99121157904926,14.779803477765634,16.534283840112305
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,200,0.18948215245227087,576.8206286008069,17.032950792865776,-0.015819182254957237,0.39478348715949896,415.9515233488123,737.6897338528015,15.456578199695542,18.60932338603601,0.40786417876017317,434.1249111992794,15.916255195786357,0.3505017814681395,0.46522657605220685,391.2093901322804,477.04043226627834,15.019779143638207,16.812731247934508
