Feature Combination,Model,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper,Number of Estimators,Run Number
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.35118005263205054,459.1123230813745,15.937999494332871,0.21037769709343573,0.49198240817066535,359.49842048106564,558.7262256816833,14.162628066459382,17.71337092220636,0.3649563495969822,465.21353694902893,16.312108022233225,0.3129020583287063,0.4170106408652581,427.98203282473116,502.4450410733267,15.447166025190578,17.177050019275875,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.3498381681183872,462.2632334246741,15.590282728327821,0.2346895646634656,0.4649867715733088,375.4031993036497,549.1232675456986,14.01047180598131,17.170093650674335,0.42003607784153985,424.9185523074804,15.348813565427582,0.371592288819466,0.4684798668636137,390.1794766751196,459.65762793984123,14.652096974052043,16.04553015680312,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.349272395497085,460.5904812177053,15.60105483526053,0.2293427823963582,0.4692020085978118,375.02039889230514,546.1605635431055,14.070180147638556,17.131929522882505,0.4084648951205258,433.41082062912955,15.651400488923002,0.36747591505213767,0.44945387518891394,404.1100921470999,462.7115491111592,15.077510306513027,16.225290671332978,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type']",Fixed Stacking Ensemble,0.2337552851738416,548.116742139144,17.57042833290346,0.048117014046957896,0.4193935563007253,387.32975879306025,708.9037254852277,15.39888745985605,19.741969205950873,0.33887160315119835,484.8624096844308,16.918554231681686,0.29122931312968514,0.38651389317271156,447.25476294323005,522.4700564256316,15.997875166096986,17.839233297266386,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'tin(II) octoate']",Fixed Stacking Ensemble,0.3182851752726386,480.24241033944674,16.676961190995133,0.1848046376264735,0.45176571291880374,390.0435864780385,570.441234200855,14.979346226644996,18.37457615534527,0.34737674211741354,478.1538725357608,16.784748142905944,0.29640725396835177,0.3983462302664753,441.17492549974025,515.1328195717813,15.840265935760653,17.729230350051232,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Sratio(%)']",Fixed Stacking Ensemble,0.29449694682449207,505.62029208356523,16.74653216280449,0.15912169532917558,0.42987219831980855,381.8426643644917,629.3979198026387,15.363982834180728,18.12908149142825,0.3803893927800791,454.1599183097138,16.33754727598926,0.32386929453891444,0.43690949102124377,412.335701454487,495.98413516494065,15.435287957666485,17.239806594312032,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.33793069156868444,466.9738567783661,16.477332274103837,0.19944193640821056,0.4764194467291583,374.9769840516127,558.9707295051195,14.860115104963413,18.09454944324426,0.341803454708909,482.2860107252076,16.843093172421668,0.2918253129624223,0.3917815964553957,445.92747337441295,518.6445480760023,15.995894955335043,17.690291389508292,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.3451946297613454,463.69628167376715,16.24638829380158,0.23811249528008238,0.45227676424260843,383.6262867409498,543.7662766065845,14.947699621478787,17.545076966124373,0.3852223280606977,450.51928353853225,16.245061783751648,0.34239438726213284,0.4280502688592626,419.24389289645245,481.79467418061205,15.584564890988865,16.90555867651443,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.3680187048680705,446.8118690017495,15.79236973951824,0.26290879750791074,0.4731286122282302,369.51374493546064,524.1099930680384,14.718517140283398,16.866222338753083,0.3931811123751113,444.642909039176,16.084062145351957,0.3504443774597788,0.43591784729044375,413.71342495035344,475.57239312799857,15.482794018449805,16.68533027225411,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.2820162548032563,507.4012240525952,17.085447200744927,0.14709267592086583,0.4169398336856468,409.61918917554476,605.1832589296456,15.43858848362134,18.732305917868512,0.34240138192393366,482.0419687091159,16.900739546136286,0.28847186960441473,0.3963308942434526,441.40541595897923,522.6785214592526,15.964160477805168,17.837318614467407,1000,1
