Actual_Values_C,Predicted_Values_C,Residuals_C
64.55,55.48849563611044,9.061504363889554
73.89,46.77239139672844,27.117608603271563
53.19,53.12544774163633,0.06455225836366907
64.51,23.251157339162237,41.25884266083777
69.06,56.841286201987245,12.218713798012757
10.939999999999998,60.07297415943305,-49.132974159433054
8.96,23.59985019288661,-14.639850192886609
14.399999999999999,29.948001986660774,-15.548001986660775
31.49,41.51736110635267,-10.027361106352675
53.61,63.20039977670517,-9.59039977670517
9.699999999999996,29.687625239127602,-19.987625239127606
26.52,39.458807837058146,-12.938807837058146
64.88,58.35245363107225,6.527546368927744
26.220000000000002,42.912782357039774,-16.69278235703977
44.25,46.556498028149036,-2.3064980281490364
88.66,62.90073506828007,25.759264931719926
-16.610000000000007,61.070326098874496,-77.6803260988745
-11.079999999999998,31.5777795185303,-42.6577795185303
27.19,50.42405832521131,-23.23405832521131
21.35,41.36108387569206,-20.01108387569206
16.57,25.254559331676997,-8.684559331676997
59.98,56.816421960041495,3.1635780399585016
33.56,54.183988663799376,-20.623988663799373
44.37,50.48088285858244,-6.110882858582443
62.87,50.52767111135863,12.342328888641369
93.5,66.07064959246145,27.42935040753855
13.869999999999997,39.88981248193965,-26.019812481939653
74.68,56.581887863235714,18.098112136764293
42.44,56.706420855890535,-14.266420855890537
70.45,62.705664213502104,7.744335786497899
7.390000000000001,30.69129220624063,-23.30129220624063
76.07,61.730948767842264,14.339051232157729
55.89,66.30613843455473,-10.416138434554725
11.269999999999996,19.66584525334264,-8.395845253342642
24.23,36.293530579425614,-12.063530579425613
38.87,49.45192762096531,-10.58192762096531
3.1000000000000014,18.34969377720691,-15.249693777206907
3.5600000000000023,21.11333262268799,-17.55333262268799
10.899999999999999,33.71234390901147,-22.812343909011474
2.509999999999998,52.983397285770764,-50.473397285770766
41.31,41.68774660889822,-0.37774660889822087
55.32,57.79664995726741,-2.476649957267412
68.35,13.028575196691122,55.32142480330887
65.41,58.27928859017954,7.1307114098204565
21.659999999999997,34.91421758130185,-13.254217581301852
18.379999999999995,23.59643689714463,-5.216436897144636
52.66,30.356985090443395,22.3030149095566
8.740000000000002,55.06695657222067,-46.326956572220666
60.95,65.2934988181068,-4.343498818106795
21.450000000000003,32.20988913123195,-10.759889131231944
25.25,39.56052908847946,-14.310529088479463
12.170000000000002,31.392808385523566,-19.222808385523564
9.909999999999997,27.357988093576864,-17.447988093576868
53.29,41.391229614820254,11.898770385179745
2.4299999999999997,25.546739481919584,-23.116739481919584
39.26,42.069690790592674,-2.8096907905926756
-16.739999999999995,17.954307405204062,-34.69430740520406
68.28,60.6409862887255,7.639013711274501
8.57,21.085350103679325,-12.515350103679324
8.57,31.585077903441295,-23.015077903441295
75.01,67.50852461143361,7.501475388566391
24.19,28.325813559888335,-4.135813559888334
52.75,50.749480317784126,2.0005196822158737
60.77,55.08224646472223,5.687753535277771
65.85,58.34498674258501,7.505013257414987
73.61,62.13466427301904,11.475335726980958
62.29,35.14191467123199,27.148085328768012
67.26,64.8312296094654,2.428770390534609
72.42,45.795547540716974,26.624452459283027
67.74,62.175315843085706,5.564684156914289
52.6,40.29947318599399,12.300526814006012
20.299999999999997,15.569598416947343,4.730401583052654
39.38,45.81177404292529,-6.431774042925291
63.27,58.703518526357556,4.5664814736424475
60.08,63.024851017510116,-2.9448510175101177
10.920000000000002,46.34718522428131,-35.42718522428131
19.760000000000005,37.20260152473486,-17.442601524734854
63.01,19.42222254550359,43.587777454496404
63.93,63.03947401077171,0.8905259892282871
10.369999999999997,11.19659736147134,-0.8265973614713431
68.45,67.5262872879575,0.9237127120425015
87.41,15.371984231061099,72.03801576893889
76.9,21.06345774306004,55.836542256939964
59.31,51.53038420555689,7.77961579444311
-17.739999999999995,11.084953190183256,-28.82495319018325
71.05,57.04809472589405,14.001905274105944
61.71,63.86875915211317,-2.15875915211317
87.05,53.44245217882816,33.607547821171835
67.52,65.49586955711183,2.024130442888165
16.57,32.24622981917806,-15.676229819178062
68.7,59.4543485396352,9.245651460364805
59.11,59.40906637769049,-0.2990663776904938
73.06,64.31272117342783,8.74727882657217
60.5,36.75838321703565,23.74161678296435
70.43,56.80939460017693,13.620605399823077
54.01,68.45644811190944,-14.44644811190944
3.520000000000003,48.789904776429,-45.269904776428994
82.27,61.188483000037934,21.081516999962062
