Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
30,650,0.6,8,6,45.31600622868592
50,650,1.1999999999999997,52,4,56.25209051252302
2,650,0.9999999999999999,0,17,62.05694046932365
12,1000,0.6,4,16,55.016216307148376
56,650,1.0999999999999999,64,20,50.137313947576715
22,250,1.2999999999999998,4,15,43.52752794878833
46,1000,0.7,8,1,55.89499173193404
30,250,1.0999999999999999,24,4,33.62721489173967
6,250,0.6,32,17,17.867168085931972
34,1000,0.6,4,13,55.619627243418755
42,650,1.2999999999999998,40,15,35.58504890154008
42,250,0.7999999999999999,64,15,56.7499923736319
30,1000,0.7,52,19,28.07240302969667
12,250,1.1999999999999997,8,5,41.624391354113705
6,650,1.1999999999999997,16,14,14.501645578598378
38,250,0.7,64,7,48.697369477070666
18,650,1.2999999999999998,36,20,13.011108651481102
64,250,1.0999999999999999,12,9,42.67453311977181
50,650,0.7,52,1,53.16673410401421
12,250,1.1999999999999997,16,13,9.317689508627424
22,1000,0.7999999999999999,12,1,74.05161757566808
20,650,0.7999999999999999,28,2,25.968942889283188
54,650,0.6,8,20,44.60047332735788
50,250,0.8999999999999999,36,18,49.75787072215286
6,650,0.6,4,8,45.04247339321394
36,1000,0.7,0,8,52.901436230523814
26,1000,1.0999999999999999,60,5,39.204904788888356
44,250,1.0999999999999999,16,6,32.392268215559994
42,1000,0.7999999999999999,0,3,61.66681451970126
30,650,1.4,0,0,67.0976590359684
64,250,0.9999999999999999,12,2,42.99151006250885
64,650,0.7,16,20,21.70959160537628
56,1000,0.7,52,11,51.856043484499345
50,250,1.0999999999999999,0,7,68.59979224938515
56,650,0.7999999999999999,44,14,59.70274981643141
6,250,0.9999999999999999,64,5,15.941041128150722
36,650,1.4,28,17,40.24549176951811
46,250,0.6,64,13,50.45488103621265
46,650,1.4,64,1,58.104795079333634
66,250,1.4,36,18,49.436905417390875
2,1000,1.2999999999999998,48,12,12.375118192427713
0,250,0.9999999999999999,4,19,43.17416494505275
6,250,0.9999999999999999,24,19,8.241879749604756
8,650,0.9999999999999999,68,17,19.03058777122054
28,250,1.1999999999999997,52,17,40.23420828680433
8,650,1.4,36,6,24.776613269803764
14,650,1.4,0,9,65.51998262834255
22,1000,1.1999999999999997,12,18,73.40851404752965
22,1000,0.7,0,14,53.38019209440916
58,1000,1.4,64,18,49.872592076176296
2,650,1.0999999999999999,48,6,14.5848048238595
52,650,0.7999999999999999,56,20,54.24752531977738
34,1000,0.9999999999999999,32,19,19.935136325304192
28,650,0.6,56,19,29.190307371743973
62,250,1.0999999999999999,44,18,48.84601361098102
10,650,0.7999999999999999,12,14,61.07490782959086
28,250,0.7,36,14,45.01152029535939
16,250,0.6,8,1,41.21505836956209
54,250,1.1999999999999997,20,10,45.390149542981376
66,650,0.8999999999999999,16,9,49.52016944467591
64,650,0.7999999999999999,48,0,59.48318623440119
16,250,0.7,60,19,11.458925161502542
46,250,1.0999999999999999,4,0,46.394749315953376
22,1000,0.9999999999999999,20,11,15.406964692819763
62,650,1.4,40,4,57.624685441962114
18,250,0.6,20,18,5.939489211927089
6,250,0.7,28,2,18.46723249522931
68,250,1.4,24,2,49.95942976178264
62,650,1.2999999999999998,56,10,54.1045234265405
36,250,0.6,36,7,44.61605809900776
34,650,0.6,68,1,54.566694965835
0,1000,1.2999999999999998,64,4,12.689822820771433
68,250,0.6,28,17,29.520355554654742
0,250,1.2999999999999998,4,13,42.706094940166025
26,650,0.8999999999999999,56,18,53.16791259979386
50,250,0.8999999999999999,28,16,55.296142484723255
46,1000,1.2999999999999998,40,0,51.99608337769118
18,1000,0.6,56,1,37.32656808633113
56,1000,1.1999999999999997,20,13,50.11098566181055
26,1000,0.7999999999999999,36,12,45.87050663822638
44,1000,0.8999999999999999,48,11,51.423619069288236
62,650,1.1999999999999997,52,7,55.693032243566165
50,650,0.7,16,14,42.8351188514303
16,650,1.0999999999999999,8,1,59.59547957506749
14,650,1.0999999999999999,52,0,15.160606626672084
34,250,1.2999999999999998,56,8,40.931773312907495
42,1000,0.9999999999999999,32,11,32.891924763409094
6,1000,1.2999999999999998,20,3,14.064679096435178
6,1000,0.6,44,12,21.346290869894368
60,650,1.0999999999999999,24,5,53.06948985932271
52,650,1.4,20,15,52.740640169517626
20,250,0.9999999999999999,12,12,41.81574941075025
48,650,0.6,32,6,46.20889488564076
26,1000,0.6,60,15,51.09164828529809
42,650,1.2999999999999998,44,4,35.83875381393001
38,1000,1.4,56,3,44.6204675021267
58,650,1.4,44,14,58.111584711234414
26,650,0.9999999999999999,56,5,43.632406723659784
42,650,1.2999999999999998,20,2,34.590305265360975
44,650,1.4,52,12,43.08275866080921
54,1000,1.2999999999999998,0,11,61.88421487178216
44,1000,0.7,28,14,47.06271353898292
58,650,0.6,64,12,52.10143233832604
42,650,1.2999999999999998,56,19,34.82148027464107
62,1000,1.0999999999999999,24,10,48.32593012643643
66,1000,1.0999999999999999,48,10,53.68946452293992
42,650,1.0999999999999999,48,20,33.59023343024221
50,1000,0.7,60,0,50.77644491814809
34,250,0.8999999999999999,40,20,41.49324817909556
16,250,0.8999999999999999,8,7,42.38773521671156
26,250,0.7,8,13,42.07742718499196
50,1000,1.1999999999999997,12,14,75.41848241622901
0,650,1.1999999999999997,64,5,13.15579880259127
18,250,1.1999999999999997,28,15,14.811444782248913
32,1000,0.7,60,17,34.5181406543026
20,1000,0.6,60,9,38.381845464063176
64,650,0.9999999999999999,40,5,54.42040550118599
2,250,0.6,20,10,15.543232005336485
4,1000,0.7999999999999999,56,11,24.306461623022496
10,250,0.7,64,11,21.083809908282525
2,650,1.2999999999999998,68,0,16.584066691104688
14,250,1.1999999999999997,44,12,16.20246892345196
12,1000,1.2999999999999998,12,2,71.08115590769668
10,1000,1.1999999999999997,20,19,14.174119016796311
66,650,0.8999999999999999,44,1,58.94586237902398
54,1000,0.8999999999999999,52,18,57.577747265018594
34,250,1.0999999999999999,60,16,42.08273182602579
60,250,0.7,64,2,49.61304719869002
26,650,0.8999999999999999,16,4,42.448731110794604
0,1000,1.0999999999999999,36,14,11.641073079032132
30,250,0.8999999999999999,44,10,47.4695157983571
50,650,0.7,32,6,45.98287458946022
18,650,1.4,36,3,37.64985333947007
34,250,0.7999999999999999,28,13,43.48621169394497
42,1000,1.0999999999999999,8,2,68.86296571488045
14,1000,1.1999999999999997,48,20,5.657019847045085
60,1000,0.9999999999999999,24,3,51.09274232591244
16,1000,1.4,8,3,65.34156189565672
0,1000,0.8999999999999999,0,11,52.458885610482845
62,250,1.2999999999999998,0,6,68.17892929637247
42,650,1.0999999999999999,44,7,40.517166289214885
52,650,0.9999999999999999,8,7,65.4815357064098
32,250,0.8999999999999999,64,7,52.99830507096916
24,1000,0.9999999999999999,32,9,9.715869753003737
2,650,0.7,60,19,12.279377938547555
2,1000,0.9999999999999999,64,7,14.750466795360929
62,1000,0.6,64,20,28.687628605858258
44,650,1.0999999999999999,0,5,66.33755976686874
26,1000,0.6,4,9,56.915330795897134
58,650,1.1999999999999997,32,9,49.44326492925755
48,1000,1.0999999999999999,20,6,49.19146420314371
24,250,1.0999999999999999,28,18,11.952618887318714
30,1000,1.4,44,6,46.08326635976556
4,250,0.6,4,5,42.42504965014897
32,650,1.0999999999999999,8,9,62.21693069290514
54,650,1.4,64,18,50.53659916500022
60,1000,0.9999999999999999,16,8,49.15093398347812
32,650,0.8999999999999999,68,19,49.85632179743469
42,1000,0.8999999999999999,48,12,50.8285674187869
10,250,0.9999999999999999,52,11,16.646536488433846
32,1000,1.1999999999999997,4,0,69.84822839213176
56,1000,1.2999999999999998,32,14,48.8229080129848
38,1000,0.8999999999999999,32,3,43.31993820976818
44,650,0.8999999999999999,68,11,59.09359921230211
4,1000,0.8999999999999999,52,16,25.38408567654942
40,1000,1.2999999999999998,4,16,69.76502137889965
2,1000,0.7999999999999999,40,19,17.21675940717865
42,650,0.9999999999999999,0,19,64.5519015360012
60,650,0.9999999999999999,32,13,51.87350889686235
62,250,0.7999999999999999,32,4,53.963404907544344
32,1000,1.1999999999999997,68,8,38.72300986584139
36,1000,0.7999999999999999,32,0,43.47452462742173
46,1000,0.8999999999999999,48,10,59.235896211891436
6,1000,1.2999999999999998,40,14,11.648277912614347
16,650,0.7,20,3,18.979731754549725
58,1000,1.0999999999999999,16,7,49.11869343630293
10,1000,1.4,12,4,70.04269969252441
26,1000,0.7,0,20,53.08139684888609
30,1000,0.6,12,11,57.2285380463355
58,1000,0.9999999999999999,36,2,51.61578002860257
4,650,0.7999999999999999,28,13,21.609578084780875
56,1000,0.7,36,9,44.87491666839985
12,250,1.0999999999999999,16,7,10.95873421939492
50,1000,1.4,28,10,54.26322945170838
38,250,0.8999999999999999,64,4,53.654738928583896
22,250,0.9999999999999999,28,9,13.873633056278308
52,1000,0.7999999999999999,44,19,50.33860691548274
50,650,1.4,20,5,53.066914714119655
38,1000,1.0999999999999999,12,18,72.39970752509353
60,650,1.2999999999999998,0,18,66.69567390195779
2,250,0.7,36,7,19.902577498640973
32,1000,0.7,48,16,47.31866006949395
58,1000,0.7,12,11,54.62006598906632
20,250,0.7,36,1,36.23104355862242
18,650,0.6,68,18,24.10244047419671
0,650,0.6,28,1,18.199268040642814
0,1000,1.4,16,17,14.368436237487806
14,1000,0.7999999999999999,64,20,16.0782791999453
34,250,1.4,24,6,38.532802138451274
56,250,1.1999999999999997,16,9,46.62941052428737
30,250,1.0999999999999999,24,17,33.712868519477745
24,1000,0.8999999999999999,24,11,27.328599327289968
60,1000,0.7,20,19,21.050944484055876
24,1000,0.7,36,1,33.93919076507392
66,650,0.6,16,2,40.37161670555902
20,1000,0.7999999999999999,40,9,39.79631909480115
18,650,1.1999999999999997,20,18,19.791087589246118
28,250,1.4,12,13,41.19575304334978
18,250,1.0999999999999999,44,15,26.672909291299256
60,650,1.2999999999999998,16,12,51.62165325832317
14,250,0.7,68,6,24.432636401282796
58,650,1.4,28,19,46.53728142248006
66,650,0.7,56,8,51.05859389966642
58,1000,0.7999999999999999,48,5,58.65734652797447
20,250,0.9999999999999999,52,9,29.445448121255392
20,650,1.4,64,5,34.94710651284249
52,250,1.4,52,19,51.52600300787365
52,1000,0.6,24,16,43.67372723945272
36,1000,1.1999999999999997,64,4,34.65604905359996
2,650,0.7,44,11,21.870733752641613
4,1000,0.7999999999999999,56,20,16.42656779657758
34,250,1.0999999999999999,20,10,32.49826479383513
10,1000,1.0999999999999999,36,19,3.143451273346983
66,250,0.7999999999999999,52,16,62.49207043280397
60,250,0.8999999999999999,28,9,54.8111175941824
20,250,0.9999999999999999,52,11,29.517889719558678
0,250,0.6,32,12,17.849281996017666
10,1000,0.6,44,0,20.771456558919375
14,250,0.9999999999999999,28,3,14.551152242596103
42,1000,0.9999999999999999,4,9,68.46415610059893
62,650,0.8999999999999999,12,15,63.850015471973045
22,650,1.2999999999999998,56,8,23.289355895701828
32,1000,1.2999999999999998,0,7,54.95041169881231
30,250,0.8999999999999999,28,1,42.2531183034799
16,250,1.2999999999999998,0,13,60.447837300201364
54,250,0.9999999999999999,48,4,54.74922223570213
58,650,0.9999999999999999,68,11,58.65549679799983
64,250,0.8999999999999999,20,3,44.91683619486391
28,650,1.0999999999999999,0,13,63.772750343410706
42,650,1.0999999999999999,44,4,40.444992221241364
54,650,0.6,60,10,52.02299877111052
0,250,0.6,52,13,23.28297391533875
34,650,0.7,28,4,45.217582257827075
12,650,0.9999999999999999,8,20,59.813314048588815
6,1000,1.1999999999999997,68,7,16.675488840238764
10,1000,0.9999999999999999,28,8,11.75274826411615
30,250,0.7,56,18,29.18489000626807
8,650,1.4,16,13,14.732480650649954
66,650,0.8999999999999999,4,17,62.56429863625091
30,1000,1.0999999999999999,48,19,23.33312665775118
64,1000,0.8999999999999999,8,8,70.78281345843315
2,650,0.6,24,13,23.04689381201994
28,250,1.2999999999999998,48,14,36.834764588693616
