Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
53,250,1.2000000000000006,8,15.5,44.23637666298593
44,250,1.2000000000000006,22,19.0,27.14061428951595
10,1000,1.0500000000000003,52,18.0,8.166563283151199
52,650,0.6,26,9.0,46.318754283560196
50,250,1.4000000000000008,4,0.5,45.41389318591463
40,1000,0.8000000000000002,60,3.0,54.687782160487686
16,1000,1.3000000000000007,48,11.0,14.573436740424299
67,650,0.6,62,6.0,51.53082500238861
19,650,1.0000000000000004,32,15.5,16.220716101437453
40,1000,1.2000000000000006,40,15.5,27.724270129392615
48,650,0.65,44,6.5,49.358075432357055
27,1000,1.2000000000000006,46,10.0,30.26687916213704
64,650,0.9000000000000002,26,18.0,49.86602610579172
18,650,1.2500000000000004,24,13.0,19.034596674275086
29,1000,1.1000000000000005,20,6.0,34.58366385491013
3,1000,0.65,0,10.0,51.796877108368776
3,1000,0.8000000000000002,26,2.5,20.73968143832041
60,1000,0.65,22,11.0,39.684787565294265
62,250,1.0500000000000003,2,5.5,66.30837262856271
12,650,0.6,40,19.5,12.44642721641437
38,250,0.9000000000000002,36,13.0,43.90915194791389
28,650,1.0000000000000004,54,10.5,38.16410874935218
10,250,1.2000000000000006,22,12.5,8.56544308936948
6,1000,1.3500000000000005,34,3.5,22.004339014006607
61,650,0.9000000000000002,40,2.5,58.86138847100565
67,250,0.7000000000000001,30,19.0,26.045406775999876
33,250,1.2000000000000006,24,15.5,32.39857602447901
5,650,0.65,0,15.5,60.057673747127794
43,650,1.2500000000000004,66,7.5,43.646776876021804
28,250,1.0500000000000003,36,4.5,35.11932547017054
63,1000,0.9500000000000003,12,19.0,73.76133956964661
66,1000,1.4000000000000008,26,12.0,53.42981349875995
47,650,0.65,50,10.5,53.41568322405829
29,650,1.2000000000000006,54,11.0,35.94847378091647
28,1000,0.6,28,15.0,42.02436737148696
44,1000,0.9500000000000003,18,15.5,34.248509940881405
24,1000,1.1500000000000004,36,14.0,15.92830800393709
49,1000,1.0000000000000004,58,18.5,49.16199261657584
9,1000,0.65,40,11.5,20.950288196239697
67,1000,1.3000000000000007,56,11.5,53.41720275849388
30,1000,0.9500000000000003,20,3.0,34.785833981701046
7,1000,0.9500000000000003,6,6.5,66.79450024445899
25,1000,0.6,12,8.0,57.41519150471685
67,1000,1.0500000000000003,42,12.5,53.205521143255126
40,1000,0.6,40,8.5,47.239468918216645
65,650,1.2000000000000006,8,15.0,64.28295478970496
35,1000,0.65,46,8.0,47.88600133258853
40,250,1.3500000000000005,22,16.5,29.76347638182621
16,650,0.7500000000000001,32,11.5,19.13652990331066
10,650,1.0500000000000003,20,14.5,16.587581851722497
22,250,0.65,8,4.0,42.24902355869331
32,250,0.9000000000000002,2,10.0,58.22867183609057
40,1000,0.9500000000000003,4,10.0,68.60588390732262
15,250,1.3000000000000007,32,14.5,11.275315171553366
52,250,1.3000000000000007,48,19.0,46.93247049642838
65,1000,1.3500000000000005,62,1.5,56.80587749306338
14,650,1.1000000000000005,36,4.0,13.086563356075807
