n_estimators,Model,Train_R2,Train_R2_CI_Lower,Train_R2_CI_Upper,Train_MSE,Train_MSE_CI_Lower,Train_MSE_CI_Upper,Train_MAE,Train_MAE_CI_Lower,Train_MAE_CI_Upper,Val_R2,Val_R2_CI_Lower,Val_R2_CI_Upper,Val_MSE,Val_MSE_CI_Lower,Val_MSE_CI_Upper,Val_MAE,Val_MAE_CI_Lower,Val_MAE_CI_Upper,Test_R2,Test_R2_CI_Lower,Test_R2_CI_Upper,Test_MSE,Test_MSE_CI_Lower,Test_MSE_CI_Upper,Test_MAE,Test_MAE_CI_Lower,Test_MAE_CI_Upper
300,GradientBoosting,0.9921808705918623,0.9894149865408037,0.9942740447531373,5.647350876347651,4.033797344251001,7.6595481271492085,1.7832459110274483,1.5104846079573973,2.100120008013129,0.4459648275362089,-0.5476252037054756,0.8043859277084615,429.1214182019936,115.43301853072984,898.6134271081148,14.931165915451276,8.417634953910786,22.762712649476228,0.7745121843233297,0.40547402679241973,0.8741818982298323,168.557309324456,83.12709965946833,261.5029231446933,10.69423475544179,7.1176897372424275,14.260889132148009
300,RandomForest,0.7397582489572732,0.6388746035897338,0.8153501062021954,187.95909417790818,123.14361952402622,270.23611799672216,9.815338211152042,8.0412257238706,11.846030593878217,0.3210652306555438,-0.6452743872239267,0.7351779793537566,525.8609300780039,156.43295208621842,993.3372980163214,17.09909241153263,10.245208102727014,24.996437446330916,0.5763677586790764,0.10595707542913758,0.7595044550968965,316.67480801948903,156.5251357815653,469.5635350745984,14.422885611912246,8.886245131580159,19.21734479265451
300,SVR,0.40181328796513927,0.16260621392240387,0.5948614933871235,432.03917931244627,272.7405839478815,634.1678706394457,15.221896625502172,12.580151915722794,18.093478753455493,0.27349057689702194,-0.9358054602025776,0.7018487892395125,562.7093178807836,175.26679152081442,1068.6054936131675,17.942909502635338,10.943704685839869,26.391662099162804,0.5038541844148094,-0.21932205868394958,0.7659821012028654,370.8803664475783,159.3637251158267,642.3323808324343,15.45173393241572,9.8666576170385,21.34286086322731
300,Lasso,0.30559526218579336,0.1669478770276514,0.4111415680804744,501.5324596819871,377.9688650179999,648.2033814343703,18.44300065236816,16.07369785955354,20.897290534890644,0.23883117297062406,-0.29337434975342724,0.4948997913719169,589.5543510233385,263.0171545472177,984.3789018301467,19.58553949391207,12.850789328056004,27.257486666863045,0.32156248293766954,-0.08335651980283243,0.48845853202152767,507.14759055880427,266.5135375909147,800.9590025317822,19.090685824509425,13.422752745603532,24.691445942703037
300,ElasticNet,0.3939471816531792,0.20168308406370614,0.5367783507740285,437.7204591654257,305.1216964936174,590.1727571471852,16.037699775725084,13.563188528795767,18.519849139330127,0.29809225616504786,-0.40966386372200364,0.5950750019084633,543.6543769269476,250.6123348901811,944.6212441727318,18.50927448465007,12.224280546695319,26.271119938928567,0.46614595189963814,-0.02118649306404825,0.6569018986863574,399.0681343456547,208.8476272445123,638.4954425192602,16.57600186303262,11.660907867649069,22.232149309907598
300,Ensemble,0.9942044029129846,0.9909959579088883,0.9965780423520317,4.185858626952967,2.38336034743778,6.391274136408914,1.3736869172451303,1.09468525217655,1.6776530842329038,0.4335066082714125,-0.4454830402119328,0.8135763484060586,438.77078521854384,126.34160455248376,940.1984443574921,14.783222257178355,8.603034181332635,23.041965495459326,0.7655024707512665,0.33971928442018046,0.8772156321351396,175.29227667927137,89.93097705492671,293.85607402543553,11.027493270644115,7.86935290951012,14.780290656051594
400,GradientBoosting,0.9984340336102614,0.9979597987402098,0.9988457802364311,1.131016153053788,0.7750051611409362,1.4659994965369774,0.8008412102905191,0.6568624323677644,0.9301713721000576,0.4495887304793713,-0.5320032954777985,0.8010990446232545,426.3145668544867,123.10618694637432,953.2422739774664,14.818246532690239,8.54592610259382,22.89608417110695,0.7696213102438672,0.42389176697056774,0.878399226668191,172.21334977438002,87.10942691714534,289.055488339232,10.81309902535667,7.622151053217628,14.456484182493169
400,RandomForest,0.7384462131946068,0.6478180092312873,0.8089988101896044,188.90670943369133,122.8390606327102,263.60333549940634,9.832093984058908,8.106655560153197,11.539510734477748,0.3268236827091501,-0.7389451676531706,0.7354529485999334,521.4007888546537,153.59540234116034,1040.3446061642985,17.04059878822197,10.260588364718235,25.746064670996503,0.5824488388746757,-0.03657675308335186,0.7707505084323965,312.12906122390064,156.56868930069183,471.05610795714153,14.249890319131552,9.117069571772548,19.101546353206057
400,SVR,0.40181328796513927,0.17739876911538682,0.5815899423807065,432.03917931244627,279.22759831690087,621.8482463909043,15.221896625502172,12.598595342899534,18.050976672731963,0.27349057689702194,-0.7533012184677987,0.714016507058459,562.7093178807836,178.12416001804823,1071.2285645269492,17.942909502635338,10.867551306363655,26.144838112282827,0.5038541844148094,-0.16582136445779377,0.7588991143315534,370.8803664475783,170.72663561201978,664.4444727026595,15.45173393241572,9.969865368784136,21.500748364906343
400,Lasso,0.30559526218579336,0.16545449570955972,0.41345745420143054,501.5324596819871,373.5686908342537,646.7348455720108,18.44300065236816,15.94327990023377,20.999456826883478,0.23883117297062406,-0.2690051847162379,0.48533402777746315,589.5543510233385,277.80948650973767,970.1922290655843,19.58553949391207,13.096831925427892,26.947489593529752,0.32156248293766954,-0.11818050001114368,0.48776565316621917,507.14759055880427,274.3817252455841,809.6290849043179,19.090685824509425,13.42830974365962,24.842410367328306
